track_genre,n,avg_tempo,avg_popularity,pearson_r_tempo_popularity
world-music,999,121.41,41.88,0.198233
comedy,996,100.93,24.64,0.173994
iranian,988,114.62,2.22,-0.14751
sleep,1000,84.62,35.07,-0.147506
garage,1000,127.05,40.93,-0.128617
piano,998,118.06,45.28,-0.122861
mandopop,1000,123.48,45.02,0.118545
psych-rock,996,121.53,42.9,-0.115191
dub,999,129.51,40.06,0.112799
deep-house,998,120.89,44.79,-0.109335
pop,993,120.88,47.9,-0.106539
rock,1000,126.32,19.0,-0.105194
classical,933,108.05,13.52,0.103336
club,995,123.31,33.38,-0.10301
funk,1000,117.76,32.32,0.099439
honky-tonk,981,116.62,16.41,0.097025
folk,999,118.45,38.04,-0.096345
guitar,999,111.99,29.53,0.086542
synth-pop,1000,122.85,36.58,-0.086232
power-pop,996,134.6,26.92,-0.084971
hardcore,999,125.33,36.11,-0.083182
ska,1000,128.34,35.13,0.082329
j-pop,998,124.69,41.22,0.081985
blues,998,116.63,31.22,0.078332
k-pop,998,119.23,56.96,0.077801
dancehall,999,112.9,33.47,0.075108
british,1000,118.83,43.8,0.074723
study,998,111.82,26.13,-0.073803
black-metal,997,128.59,22.46,-0.069963
minimal-techno,998,124.75,34.02,-0.069392
sertanejo,1000,127.05,47.87,0.068708
swedish,1000,121.09,37.17,0.064583
punk,999,133.61,38.29,0.06324
pagode,1000,126.86,44.3,0.061011
reggae,1000,119.87,20.63,0.060361
r-n-b,1000,124.04,36.69,-0.059903
show-tunes,999,114.39,31.26,0.058434
metalcore,1000,130.58,43.48,0.055451
german,963,117.5,27.19,0.053534
cantopop,999,124.26,34.75,0.051339
grindcore,998,119.27,14.63,0.050272
alt-rock,999,124.65,33.9,-0.04983
j-rock,1000,128.52,40.66,0.049256
samba,1000,118.12,38.83,0.04833
happy,999,152.92,21.72,0.047127
hip-hop,991,116.57,38.08,0.044946
party,994,131.32,21.03,-0.044531
spanish,1000,122.83,37.92,0.044052
rock-n-roll,1000,120.39,34.43,-0.043972
goth,999,124.31,28.92,-0.043258
edm,993,122.05,35.14,-0.043252
idm,998,123.25,15.76,0.041568
romance,904,109.82,3.55,0.041265
chicago-house,998,123.91,12.33,-0.041144
latino,993,119.37,25.83,0.040139
detroit-techno,998,126.6,11.18,-0.039135
bluegrass,998,126.62,25.68,-0.038574
anime,999,123.55,48.77,0.038537
kids,991,121.78,14.94,-0.037671
dubstep,999,133.66,42.32,0.036958
salsa,998,119.83,28.06,0.036875
disney,999,112.05,27.53,0.03507
tango,1000,114.55,19.87,-0.035017
indian,999,116.14,49.53,-0.034289
opera,992,105.59,24.63,0.033321
progressive-house,999,125.09,46.66,-0.02962
jazz,999,112.68,13.59,0.028504
alternative,999,122.21,24.36,-0.027267
metal,998,127.92,43.68,-0.024593
drum-and-bass,996,155.25,26.63,-0.02418
death-metal,999,123.76,32.18,-0.023751
gospel,999,125.67,41.64,0.023736
brazil,998,121.96,44.67,0.022951
forro,998,140.35,41.83,0.021776
disco,1000,121.97,33.52,-0.021402
pop-film,999,117.29,59.28,0.020316
malay,999,119.3,30.37,-0.020068
hardstyle,998,146.91,26.6,-0.019497
indie-pop,1000,120.18,40.66,0.018802
groove,998,123.74,37.83,0.017722
sad,1000,119.06,52.38,0.017452
reggaeton,1000,118.87,23.86,0.016641
french,999,117.79,41.08,-0.016164
house,999,121.12,34.19,0.015924
new-age,994,107.92,29.06,0.015454
punk-rock,1000,132.22,38.24,0.015045
ambient,999,111.16,44.21,0.014977
techno,1000,128.26,39.04,-0.014887
j-idol,999,136.1,24.71,-0.014653
mpb,1000,120.16,40.79,0.013817
chill,999,115.49,53.7,0.01368
trance,999,133.29,37.64,-0.013532
songwriter,1000,119.74,37.81,-0.013031
singer-songwriter,1000,119.74,37.81,-0.013031
dance,965,120.44,23.4,-0.012369
grunge,999,129.34,49.58,0.012137
children,998,123.37,35.12,-0.011918
trip-hop,997,118.78,34.5,-0.011189
turkish,999,120.37,40.7,-0.010218
soul,999,114.6,19.81,0.009802
hard-rock,998,125.37,42.72,0.00972
rockabilly,999,123.66,31.5,0.007219
electro,998,120.89,36.15,0.007041
acoustic,1000,119.01,42.48,-0.006927
j-dance,993,114.93,26.69,-0.006142
latin,990,119.83,8.36,0.005551
country,1000,123.96,17.03,-0.005221
electronic,1000,122.95,44.33,0.005198
afrobeat,999,119.24,24.41,0.002981
breakbeat,999,133.04,20.13,0.00282
industrial,1000,126.83,31.04,-0.001926
indie,997,119.0,38.91,-0.000128
heavy-metal,998,126.61,26.18,-0.000113
emo,1000,126.99,48.13,-9.2e-05
